product_id,impact_category,unit,total
singlescore_1_1,Total,Pt,16980974.878934015
singlescore_1_1,Climate change,Pt,6016.38576
singlescore_1_1,Ozone depletion,Pt,7.7848e-11
singlescore_1_1,Ionising radiation,Pt,5.252001
singlescore_1_1,Photochemical ozone formation,Pt,0.0065572
singlescore_1_1,Particulate matter,Pt,4.0509e-12
singlescore_1_1,"Human toxicity, non-cancer",Pt,4.3437799999999997e-13
singlescore_1_1,"Human toxicity, cancer",Pt,3.8458000000000003e-16
singlescore_1_1,Acidification,Pt,0.01198496
singlescore_1_1,"Eutrophication, freshwater",Pt,0.0000087756
singlescore_1_1,"Eutrophication, marine",Pt,0.002909536
singlescore_1_1,"Eutrophication, terrestrial",Pt,0.10404252
singlescore_1_1,"Ecotoxicity, freshwater",Pt,22431.676919999998
singlescore_1_1,Land use,Pt,16893889.2
singlescore_1_1,Water use,Pt,31715.821060000002
singlescore_1_1,"Resource use, fossils",Pt,26916.417690000002
singlescore_1_1,"Resource use, minerals and metals",Pt,1.8431999999999996e-8
singlescore_1_1,Climate change - Fossil,Pt,0
singlescore_1_1,Climate change - Biogenic,Pt,0
singlescore_1_1,Climate change - Land use and LU change,Pt,0
singlescore_1_1,"Human toxicity, non-cancer - organics",Pt,0
singlescore_1_1,"Human toxicity, non-cancer - inorganics",Pt,0
singlescore_1_1,"Human toxicity, non-cancer - metals",Pt,0
singlescore_1_1,"Human toxicity, cancer - organics",Pt,0
singlescore_1_1,"Human toxicity, cancer - inorganics",Pt,0
singlescore_1_1,"Human toxicity, cancer - metals",Pt,0
singlescore_1_1,"Ecotoxicity, freshwater - organics",Pt,0
singlescore_1_1,"Ecotoxicity, freshwater - inorganics",Pt,0
singlescore_1_1,"Ecotoxicity, freshwater - metals",Pt,0
singlescore_8_1,Total,Pt,519378.6717280199
singlescore_8_1,Climate change,Pt,6645.07914
singlescore_8_1,Ozone depletion,Pt,5.2984e-10
singlescore_8_1,Ionising radiation,Pt,21.066451
singlescore_8_1,Photochemical ozone formation,Pt,0.00772702
singlescore_8_1,Particulate matter,Pt,2.56557e-11
singlescore_8_1,"Human toxicity, non-cancer",Pt,1.748e-13
singlescore_8_1,"Human toxicity, cancer",Pt,4.3788000000000003e-16
singlescore_8_1,Acidification,Pt,0.19821624
singlescore_8_1,"Eutrophication, freshwater",Pt,0.0000045732
singlescore_8_1,"Eutrophication, marine",Pt,0.002243326
singlescore_8_1,"Eutrophication, terrestrial",Pt,1.58592573
singlescore_8_1,"Ecotoxicity, freshwater",Pt,5565.61551
singlescore_8_1,Land use,Pt,254308.65899999999
